iter	Passed	Remaining
1271	17734	10149
1272	17747	10135
1273	17760	10120
1274	17772	10106
1275	17786	10092
1276	17799	10077
1277	17812	10062
1278	17825	10048
1279	17838	10034
1280	17851	10019
1281	17864	10005
1282	17881	9992
1283	17896	9979
1284	17909	9964
1285	17922	9950
1286	17935	9936
1287	17949	9922
1288	17963	9908
1289	17976	9894
1290	17989	9879
1291	18003	9865
1292	18016	9851
1293	18029	9837
1294	18043	9822
1295	18057	9809
1296	18072	9795
1297	18086	9781
1298	18101	9768
1299	18114	9754
1300	18128	9740
1301	18143	9726
1302	18156	9712
1303	18170	9698
1304	18183	9684
1305	18197	9670
1306	18211	9656
1307	18227	9643
1308	18241	9629
1309	18255	9615
1310	18268	9601
1311	18282	9587
1312	18297	9573
1313	18312	9560
1314	18326	9546
1315	18341	9532
1316	18354	9518
1317	18368	9504
1318	18381	9490
1319	18395	9476
1320	18408	9462
1321	18424	9449
1322	18438	9435
1323	18453	9421
1324	18467	9407
1325	18480	9393
1326	18493	9379
1327	18506	9364
1328	18520	9350
1329	18533	9336
1330	18546	9322
1331	18559	9307
1332	18572	9293
1333	18586	9279
1334	18600	9265
1335	18615	9252
1336	18630	9238
1337	18645	9225
1338	18658	9210
1339	18671	9196
1340	18685	9182
1341	18698	9168
1342	18711	9153
1343	18725	9140
1344	18739	9125
1345	18752	9111
1346	18765	9097
1347	18779	9083
1348	18793	9069
1349	18808	9056
1350	18821	9041
1351	18835	9027
1352	18849	9013
1353	18863	8999
1354	18876	8985
1355	18889	8971
1356	18902	8956
1357	18915	8942
1358	18928	8928
1359	18942	8914
1360	18955	8899
1361	18970	8886
1362	18985	8872
1363	18999	8858
1364	19012	8844
1365	19025	8830
1366	19039	8816
1367	19052	8802
1368	19066	8787
1369	19079	8773
1370	19092	8759
1371	19105	8745
1372	19119	8731
1373	19132	8716
1374	19146	8703
1375	19161	8689
1376	19176	8675
1377	19189	8661
1378	19202	8647
1379	19217	8633
1380	19230	8619
1381	19244	8605
1382	19258	8591
1383	19272	8577
1384	19286	8563
1385	19304	8551
1386	19318	8537
1387	19334	8524
1388	19349	8511
1389	19365	8498
1390	19379	8484
1391	19393	8470
1392	19407	8456
1393	19421	8442
1394	19435	8428
1395	19448	8414
1396	19463	8401
1397	19476	8386
1398	19491	8373
1399	19505	8359
1400	19519	8345
1401	19534	8331
1402	19547	8317
1403	19561	8304
1404	19575	8290
1405	19588	8275
1406	19601	8261
1407	19614	8247
1408	19627	8232
1409	19640	8218
1410	19653	8204
1411	19666	8189
1412	19679	8175
1413	19693	8161
1414	19708	8147
1415	19722	8134
1416	19736	8120
1417	19750	8106
1418	19763	8092
1419	19777	8077
1420	19790	8063
1421	19803	8049
1422	19816	8035
1423	19830	8021
1424	19844	8007
1425	19857	7993
1426	19871	7979
1427	19885	7965
